,comments
17,ริดสีดวง ต้องปราบด้วย เพชรสังฆาตครับ มวยถูกคู่
18,"น้ำหัวไชเท้าที่ว่า สามารถคั้นเก็บไว้ทานได้ไม๊คะ จะได้ทำครั้งเดียวทานได้หลายวัน

ขอบคุณการแบ่งปันด้วยค่ะ"
19,หัวไชเท้าต้องปอกเปลือกออกก่อนไหมค่ะ
20,"ขอบคุณมากค่ะ ตอนที่ดิฉันได้เจอโพสนี้ เป็นคือเมื่อ 5 วันก่อน เจอโดยน้องสาว แล้วน้องก็แชร์มาให้ดูเพราะเค้ารู้ปัญหาเราดี
ตอนที่ได้อ่านอยู่ในช่วงแตก(ริดสีดวงแตก)ได้มั้งคะ เพราะ เลือดไหลตลอด ไม่ว่าจะถ่ายอ่อน ถ่ายแข็ง เจ็บทุกครั้งเมื่อแฟ็กซ์จะออก
แต่ตอนอ่านวันแรก ก็ไม่ได้คิดจะทำเพราะไม่กล้ากิน, แต่หลังจากได้อ่านโพสไม่นานก็มีอาการเหมือนที่เคย แต่ครั้งนี้เจ็บจนไข้ขึ้นสูง
จนต้องลางาน เคยเป็นไข้เพราะริดซี้บ่อยปกติจะกินยาดัก แต่ครั้งนี้ด้วยเหตุว่ามันไหลและเจ็บทุกวันเลยไม่กิน หลังจากวันั้นดิฉันก็ทำมา
ได้สองวันแล้วค่ะ มหัศจรรย์เช่นกัน วันแรกที่ทำเลือดก็ไม่ไหลแล้ว แต่ยังเจ็บ, วันที่สอง เพิ่งจัดไปตะกี้ ตื่นเต้นเลยรีบมาโพสขอบคุณ
เลือดไม่ไหล และก็ไม่เจ็บแล้วค่ะ คิดว่าจะทำให้ครบ 7 วัน.... ถึงแม้คุณจะไม่ได้คิดสูตรนี้ แต่ก็ขอบคุณที่ได้แชร์ประสบการณ์ต่อ"
21,ของไทยรัฐ บอกว่าดื่ม 1 แก้ว เยอะอยู่เนอะ http://www.thairath.co.th/content/133608
22,"คุณ จขกท ดื่มครั้งละ2ช้อนโต๊ะเหรอคะ เราก็เป็นเหมือนกันค่ะหามาสารพัดวิธีเหมือนกันไม่ได้ผลจะลองวิธีนี้ดูค่ะ แล้วต้องจำกัดอาหารหรือปล่าวคะหรือว่าทานปกติ ของเราจะงดของดองแต่อย่างอื่นทานหมด
แก้ไขข้อความเมื่อ 4 สิงหาคม 2558 เวลา 09:56 น."
23,"ดีจังเลยค่ะ หนูจะลองทำดูน่ะค้ะ
ได้ผลอย่างไร หนูจะมาบอกค่ะ
ขอขอบคุณ สำหรับการแชร์ประสบการณ์น่ะค่ะ 😊
เอิ่ม!! แล้วทานกลางวันด้วยได้มั้ยค่ะ
แก้ไขข้อความเมื่อ 11 ธันวาคม 2558 เวลา 14:23 น."
24,ลองทำแล้วหายจริงๆ มันไม่อักเสบเหมือนเดิม ไม่แสบแล้วก็ค่อยๆยุบ ได้ผลจริงๆค่ะ
25,ทานตอนกลางวันด้วย ตอนเช้าด้วย. กลางคืนด้วยได้มั้ยคะ.  ขอบคุณค่ะ. จะมีคนมาตอบมั้ยนะ
26,"มายืนยันอีกเสียงค่ะ เพิ่งไปหาหมอมาเนื่องจากถ่ายเป็นเลือด หมอบอกว่าเป็นแผลที่ทวารหนัก เนื่องจากท้องผูกบ่อย ทำให้เกิดติ่งเนื้อรอบๆ ก่อนหน้านี้กินทั้งยาระบาย มะละกอ ผักผลไม้ ก็ยังมีถ่ายเป็นเลือดบ้าง
จนมาเจอกระทู้นี้ เลยลองทำตาม คืนแรกที่ลองกินแทบจะอ้วก เพราะรสชาติและกลิ่นของหัวไชเท้า กลิ่นแรงมาก แต่วันรุ่งขึ้น โหยยยย สุดยอด เห็นผล ถ่ายคล่อง สบายตัว
คืนต่อมาเลยอมน้ำผึ้งไว้ในปากให้ทั่วลิ้น แล้วรีบกินน้ำหัวไชเท้าตามอย่างรวดเร็ว
วิธีนี้เวิร์คจริงๆ ไม่ขับถ่ายเป็นเลือดแล้ว (ลองมาได้สามวันแล้ว จะลองต่อไปให้ครบ 15 วันค่ะ)

ขอบคุณเจ้าของกระทู้นะคะ"
27,ก็ว่ามันหายเองได้ แต่ผมน่าจะระยะที่ 2 -3หายไป เป็นปีโผลมาใหม่หลังจากอั้นอุจระถ่ายไม่เป็นเวลา กินกาแฟ
28,"เพื่อฝากมาตอบให้ช่วยตอบครับ

ขอบคุณเจ้าของกระทู้มากๆนะคะ ที่มาเเบ่งปันประสบการ์ณดีๆ
ขอยืนยันอีกเสียงว่าได้ผลจริง
เราเองเป็นคนนึงที่มีปัญหาท้องผูกบ่อยมากๆ พยายามกินผักผลไม้เยอะ เเต่ก้อไม่ช่วย คือลำไส้เราไม่ค่อยทำงาน ไม่บีบรัดให้น้องๆออกมา พอเราเบ่งเเรงๆเข้า ก้อเป็นเเผลเลือดออก เเล้วยิ่งช่วงไหนไม่ได้ถ่ายทุกวัน น้องๆเราก้อเริ่มเเข็ง ครูดเเผลเดิมเลือดไหลติ๋งๆ มาได้ 2 อาทิตย์ เลยตัดสินใจว่าจะต้องไปหาหมอเเล้ว พอดีเราอยู่ ตปท เลยไม่ค่อยอยากไป คุยกับหมอลำบาก โชคดีมาเจอกระทู้นี้ เราลองทำตาม ปั่นหัวไช้เท้าเเล้วคั้นน้ำผสมน้ำผึ้งกินก่อนนอนครึ่งเเก้ว เช้ามาไม่เห็นเลือดสักหยด ฟังดูน่าเหลือเชื่อ เเต่เป็นเรื่องจริง เห็นผลกับตัวเองมาเเล้ว"
29,"ขอขอบพระคุณ จขกท. แบ่งปันความรู้ให้ได้ทราบ

  ลักษณะอาการที่เป็น มันบวมเปร่งสัมผัสโดนจะเจ็บมากและมีเลือดซิบๆ ไม่ถึงเลือดไหล นั่งไม่สะดวกเหมือนเคย หาความรู้ในพันทิปอยู่นานก็ไม่เจออะไรนอกจากให้กินยาและเหน็บยา  วันที่จะออกไปซื้อยากินลองค้นหาอีกครั้งได้เจอกระทู้นี้พอดี  โชคดีจริงๆ
  ทำกินครึ่งแก้ว ใส่น้ำผึ้งแค่ส่วนเดียว ไม่งั้นจะหวานเกินสำหรับเรา  กินไปวันแรกเช้ามาความรู้สึกว่าแผลระบบค่อยดีขึ้น  วันที่สองสามารถจับต้องได้แบบไม่เจ็บปวด  กินไป 11 วันอาการระบบหายขาด  กินต่อไปครบ 1 เดือนแผลยุบสวยงามดี

  เข้ามายืนยันอีกเสียงหนึ่งว่าได้ผลที่ดีมาก  พร้อมขอบพระคุณ จขกท.
(อยากดันให้กระทู้นี้อยู่คู่คงทน  เพื่อคนที่ทุกข์จะได้มีทางออกในการรักษาได้ด้วยตัวเอง เสียค่าใช้จ่ายแค่ไม่ถึง 100.-  น้ำผึ้งโครงการหลวง 40.-    หัวไชเท้า 20.- )"
30,"ใครเป็นอยากให้ลองนะคะ แม่เราเป็นคนนึงที่เป็นระยะ 3-4 เป็นกันทั้งตระกูลคะ แล้วแม่เราขี้กลัว ยังไงก็ไม่ยอมผ่า รัด หรือตัดอะไรทั้งสิ้น เวลานานๆทีเค้าเป็นหนักๆ อักเสบจนไข้ขึ้นก็สงสาร เลือดออกตลอด เลยลองหาวิธีใน google สรุปเจอวิธีนี้ช่วยได้จริงๆคะ มันอาจไม่ได้ทำให้หายขาดเลย แต่ช่วยทุเราให้มันอักเสบน้อยลงจนหายอักเสบ พวกเดฟฟ่อน ยาต่างๆลองมาหมดละคะ จนมาเจอตัวนี้แม่เราก็ติดใจเลย นานๆกินที หรือเวลาเป็นก็คั้นกินที ช่วยได้เยอะเหมือนกัน ทั้งนี้ทั้งนั้นขึ้นกับการกิน ดูแลร่างกายด้วยนะคะ

ขอบคุณจขกท.มากคะ"
31,"ขอสอบถามต่อค่ะ คือเราเป็นติ่งๆออกมาเหมือนกัน แต่ไม่เจ็บเลย ถ่ายปกติ ค่อนข้างเป็นคนที่ท้องเสียง่าย ถ้าท้องเสียตอนถ่ายเสร็จ จะมีอาการบวมๆตึงๆ แต่ไม่เคยเลือดออกเลยค่ะ ตอนถ่ายก็ไม่เจ็บนะคะ จะใช้วิธีนี้แก้ได้เหมือนกันมั้ยคะ.. เห็นว่าคนท้องผูกจะถ่ายคล่อง เลยกลัวว่าเราจะยิ่งท้องเสียหนักค่ะ

ใครพอจะทราบ รบกวนช่วยตอบเราทีนะคะ ขอบคุณค่ะ"
32,แหม ๆ แอบมีโฆษณาแฝง เป็นระยะ ๆ ด้วยนะ อิอิ
33,ขอบคุณ จขกท มากครับ ผมลองเอาสูตรนี้ไปให้แฟนทดลอง ปรากฏว่าอาการดีขึ้นเยอะจริงๆ ดื่มไป 3 วัน อาการเจ็บริซซี่หายไปเกือบหมดเลย ถึงแม้ตัวก้อนเนื้อจะยังอยู่แต่ก็เล็กลงอย่างเห็นได้ชัด สุดยอดจริงๆ แนะนำเลยสำหรับคนที่เป็น
34,"ขอบคุณเจ้าของกระทู้มากๆค่ะ หายจริงๆค่ะ มายืนยันอีกเสียง

เป็นริดสีดวงมานานไม่เคยรู้ตัวค่ะ แค่รู้สึกว่ามีติ่งที่ก้นบ้างครั้งเวลาอึแข็งใช้แรงเบ่ง คิดว่าไม่มีอะไร เพราะมันไม่เจ็บซึ่งเพิ่งมาอ่านๆดูน่าจะเป็นระยะแรกค่ะ

เมื่อต้นเดือนพ.ค.มานี้มีอาการเจ็บและมีเลือดซึมๆค่ะ เลยหาข้อมูลในเน็ตดูก่อน มีอาการมาจะสัปดาห์แหละ ไม่หาย เริ่มกังวลค่ะ มาเจอสูตรของ จขกท นี้แหละค่ะ เลยลองก่อนที่จะไปหาหมอค่ะ

2-3 วันแรกที่ลอง เลือดไม่ได้น้อยลงมากนักค่ะ แต่อาการเจ็บหายไปค่ะ ค่อยมีกำลังใจขึ้นมาหน่อยแต่ยังกังวลที่ยังมีเลือดซึมๆอยู่ คลำดูก็ยังเจอติ่งอยู่ค่ะ เลยอดทนทานต่อไปค่ะ อาการก็ค่อยๆดีขึ้นๆ จนตอนนี้หายแล้วค่ะ ติ่งก็หยุบหายไปค่ะ ดีมากๆค่ะ

ขอบคุณมากๆค่ะ จึงต้องเข้ามาเขียนในนี้เลยค่ะ ^^
แก้ไขข้อความเมื่อ 13 มิถุนายน 2561 เวลา 03:44 น."
35,"ดิฉันก็เป็นมานานมาก จะ 7 ปีได้ค่ะ ตอนนี้มีติ้งเพิ่มออกมาเยอะมากเลยค่ะ ยังกับมะเขือพวงเลยค่ะ ประมาณ 3-4 หัวเลยค่ะ ยัดกันอยู่ ขับถ่ายทีทรมานมากเลยค่ะ หนักสุดคือ จะ มีเลือดไหลออกมาด้วย บวมมากจนนั่งไม่ได้เลย เวลาเดินก้็เดินรำบาก ขาถ่างเลยก็ว่าได้ค่ะ อยากจะไปผ่า เนื่องด้วยค่ารักษาที่เอาการ จนได้มาเจอโพสของคุณ ดีใจมากๆ เลย เป็นอีกหนึ่งทางเลือกที่น่าลอง ค่ะ หัวไชเท้า กับน้ำผึ้ง ก็เป็นสิ่งที่มาจากธรรมชาติ ปลอดภัยและดีต่อสูขภาพ  ดิฉันขอบคุณมากๆๆนะค่ะที่ คุณนำมาโพสให้ทุกคนที่มีความทุกข์อย่างพวกเราที่คนเป็นกันเท่านั้นถึงจะเข้าใจถึงความรู้สึก ทรมานความทุกข์ กันอย่างถ่องเท้ว่ามันทรมานเพียงใด ขอบพระคุณมากจริงๆค่ะ (^_^)
แก้ไขข้อความเมื่อ 12 มิถุนายน 2561 เวลา 12:10 น."
36,"ผมเป็นระยะแบบที่ต้องใช้นิ้วช่วยดันให้กลับเข้าไปตอนถ่ายเสร็จ เป็นมาประมาณเกือบยี่สิบปี ไม่กล้าผ่าตัด
ถ้าวันไหนมีถ่ายสองรอบต่อวันหรือท้องเสียจะค่อนข้างระบม หามาหลายสูตรพอเจอวิธีนี้ถือว่าสวรรค์จริงๆครับ
ตอนนี้ทำแล้วดีขึ้นจริงๆครับ จากอักเสบๆนี่หายทันทีพอกินวันที่ 2 เลยคิดว่าจะลองกินต่อไปสัก 1 เดือน
แต่ขั้นตอนคั้นน้ำหัวไชเท้าทำค่อนข้างใช้เวลาพอสมควร มีท่านไหนทำน้ำหัวไชเท้าสต็อกแช่เย็นไว้เยอะๆมั้ยครับ
พอจะใช้ค่อยเอาออกมาผสมกับน้ำผึ้งอีกที ถ้าทำสต็อกได้จะสะดวกและง่ายมากๆครับ
ท่านไหนทำมานานแล้วหายบ้างครับ อยากรู้จัง
ขอขอบคุณเจ้าของกระทู้ที่เข้ามาแบ่งปันครับ"
37,ผมก็ยืนยันว่าทำแล้วดีขึ้นจริงๆ ครับไม่อักเสบ ไม่ปวดแล้ว ถ่ายคล่องขึ้น แต่การคั้นที่ละหน่อยมีปัญหาจริง เพราะเครื่องปั่นมันจะติด จะทำไว้เยอะๆ ก็กลัวว่าจะเสียคุณค่าไปหรือไม่ไม่รู้ว่าเกี่ยวกันหรือเปล่าครับ
38,ให้นมลูกอยู่สามารถทานได้ไหมคะ
39,"มาสนับสนุนครับ เป็นก้อนแข็งๆที่ตูด อ่านดูตามเว็บแล้วเหมือน ริดสีดวงภายนอก เลยลองเอาหัวไชเท้ามา 4 หัวมาปั่น ใส่น้ำผึ้ง 2 ช้อนโต๊ะ แล้วทานก่อนนอน 1 แก้ว วันแรกก้อนแข็งๆเริ่มยุบแล้วครับ วันที่สอง วันที่สามก็ทานมันก็เล็กลงครับ แต่วันที่สี่ทานไม่ไหวรสชาติมันเกินทน สุดท้ายผ่านไปหนึ่งเดือนเริ่มอักเสบใหม่แล้วครับ เป็นข้อมูลไว้นะครับ
แก้ไขข้อความเมื่อ 6 ธันวาคม 2561 เวลา 17:46 น."
40,"สมุนไพรภูหลวงครับ ทานแค่ 5 กระปุก หายเลย
กระปุกละ 200 บาทมี 100 เม็ด

หาอ่านในเฟสเองนะครับ ชื่อเฟส สมุนไพรภูหลวง

ของดีมาก แต่ไม่มีคนมารีวิว แปลก!"
41,ยอมรับว่าได้ผลจริงๆครับผมลองแล้วกิน น้ำหัวไชเท้าคั้นผสมน้ำผึ้ง  มาประมาณ 10 วันหายเป็นปลิดทิ้งเลยจากระยะเริ่มต้นระยะแรก
42,"กรณีของผม ไม่มีติ่งเนื้อใดๆออกมา แต่เจ็บก้นมากเวลาถ่าย เป็นมาประมาณ 1 สัปดาห์ โดยปกติเป็นคนดื่มน้ำเยอะ และขับถ่ายทุกเช้าเป็นประจำ
แต่เท่าที่สังเกตุตัวเอง ช่วง1เดือนที่ผ่านมาก่อนปีใหม่  ดื่มเบียร์หนักมาก วันละ3-4ขวดตอนมื้อเย็น ไม่กินข้าว กินกับแกล้ม พวกยำเผ็ดๆ ปลาหมึกย่างน้ำจิ้มเผ็ด ขนมขบเคี้ยว ของทอด เช้าวันรุ่งขึ้น กินกาแฟ+ขนมปัง
   ทำแบบนี้วนอยู่เรื่อยๆ จนมารู้ตัวอีกทีคือตอนถ่ายเจ็บก้นมาก หนักสุดสามวันหลัง มีเลือดออก จึงตัดสินใจว่าคงต้องไปซื้อยาแล้วละ แต่ลองหาข้อมูลดูก่อน มาเจอกระทู้นี้ครับ เลยลองทำดู
ดื่มวันแรก = ถ่ายตอนเช้ายังเจ็บก้นอยู่ แต่ไม่มีเลือดออก
ดื่มวันที่สอง = ตอนถ่ายเจ็บน้อยลง
ดื่มวันที่สาม-สี่ = เจ็บลดลงมาก
ตอนนี้ดื่มวันที่เจ็ด = ถ่ายเป็นปกติ น่าจะหายแล้ว แต่ว่าจะดื่มต่อ จนครบ 15 วัน

วิธีการของผมดังนี้ครับ
1. หั่นหัวไชเท้าเป็นชิ้นเล็กๆ
2. เอาเข้าโถบด
3. กวาดลงผ้าขาว
4. คั้นเอาแต่น้ำ ตวงใส่ช้อนโต๊ะ (ผมกินสองช้อนโต๊ะ) ลงแก้ว
5. บีบน้ำผึ้ง 2 ช้อนโต๊ะ  
6. คนให้เข้ากัน และดื่มก่อนนอน








ผมก็สงสัยครับ ถ้าคั้นเอาน้ำทีเดียวแล้วแช่เย็นไว้จะเป็นยังไง???
ลองทำแล้วครับ เหมือนน้ำหัวไชเท้าจะเสื่อมคุณภาพ และกลิ่นเหมือนเหม็นบูด
อบอวนทั้งตู้เย็น
ผมเลยแช่หัวไชเท้าแทน พอจะทำ ค่อยเอามาหั่น ทำวันต่อวัน


สุดท้ายนี้ขอบคุณเจ้าของกระทู้มากครับ สำหรับข้อมูลดีๆ
แก้ไขข้อความเมื่อ 16 มกราคม 2562 เวลา 01:57 น."
43,"ผมก็เป็นครับ 30กว่าปี  รักษามาหมดทุกกระบวนท่า ก็ไม่หาย  ก็เพิ่งมาเจอกระทู้นี้ เดี๋ยวจะลองดูครับ แต่ผมไม่มั่นใจว่าจะหายนะ
มันอาจจะแค่ยังไม่กำเริบ วันดีคืนดีมันอาจจะเจ็บบวมขึ้นมาอีกก็ได้  
           ทุกวันนี้ผมก็ประทังไปไม่ให้มันเกิดการอักเสบด้วยการกินเพชรสังฆาต สด  โดยนำมาหั่นเป็นชิ้นเล็กๆ  ปัดใส่ช้อนโต๊ะ
แล้วกรอกใส่ปากเลย ตามด้วยน้ำเปล่าทันที  ห้ามเคี้ยว เดี๋ยวมันจะคันคอครับ"
44,"ข้อสำคัญคือ อย่าปล่อยให้ร่างกายเราร้อนใน หรือขาดน้ำ สังเกตุดู วิธีการบรรเทาหรือรักษาคือ ทำให้ร่างกายเย็นคะ ถ้าไม่ร้อนใน
มันก็จะไม่อักเสบ ผักผลไม้ น้ำ อย่าได้ขาด"
45,"ถ้าเอาไชเท้ามาต้มเป็นแกงจืด..จะได้ผลเหมือน

กันไหมครับ..ใครเคยลองบ้างครับ.."
46,หลังจากได้อ่านกระทู้นี้แล้วก็ได้จดจำไว้ แต่ไม่ได้นำไปปฏิบัติซักที จนกระทั่งวันหนึ่งช่วงอาการเจ็บกำเริบ เราได้ไปทานอาหารญี่ปุ่น แล้วมีหัวไชเท้าฝอยเหลืออยู่เยอะมากในจานปลาดิบหลายจาน จำได้ว่ากระทู้นี้พูดถึงไชเท้า เลยจิ้มซีอิ๊วทานจนหมด ถึงแม้จะผิดสูตรไปหน่อยแต่ก็หวังว่าจะได้ผลบ้าง ผลปรากฎว่าวันถัดไป แผลหายเจ็บเหมือนปาฏิหาริย์ หลังจากนั้น เวลาถ่ายแล้วมีแผล หรือรู้สึกเจ็บระบมก็จะซื้อไชเท้ามาหั่นฝอยแล้วจิ้มซีอิ๊วทานดิบๆ ทุกครั้ง ซึ่งก็ช่วยให้หายเจ็บได้ในสองสามวันเสมอ จึงอยากขอขอบคุณผู้เผยแพร่สูตรไว้ ณ ที่นี้ค่ะ
47,ผมตื่นขึ้นมา ตอนตี 3 ครึ่ง เพื่อมายืนยันอีกเสียง หลังเข้าห้องน้ำขับถ่าย.... เป็นการอักเสบที่แสนทรมานครั้งที่2ของผมหลังหายไปแล้ว 4ปี ผมอายุ20ต้นๆ เป็นทั้งชนิดภายในและภายนอก ภายนอกนั้นอักเสบสองหัว ก็แช่น้ำอุ่นอยู่พักนึง พอดีมาเจอกระทู้นี้ในพันทิป ก็เลยอยากลอง ไปซื้อหัวไชเท้สกับน้ำผึ้งมา ..หั่นหัวไชยเท้าเป็นส่วนเล็กๆ จากนั้นนำใส่ครกตำให้ละเอียด แลเตัดใส่ผ้าขาวกรอง บีบน้ำลงในแก้วให้ได้ครึ่งแก้ว ตามด้วยน้ำผึ้ง1ช้อน ทานก่อนนอน ตื่นเช้ามารับรู้ถึงความเปลี่ยนแปลงในทางที่ดีขึ้นเลยครับ....ก็กะว่าจะกินสัก1สัปดาห์ เมื่อหายดีขึ้นแล้วจะเอาสูตรนี้ไปบอกแม่ต่อ ขอขอบคุณเจ้าของกระทู้เป็นอย่างมาก  ขอให้ประสบผลสำเร็จในชีวิต มันเยี่ยมจริงๆ
48,"ผมมีชนิดน้ำดื่ม รสหวานอมเปรี้ยว อร่อยมาก
ทานเช้าเย็น 1 เดือนหายดี และยังช่วยเรื่องตับใตหัวใจ ระบบต่างๆ สนใจส่งข้อความหลังไมค์มาครับ"
49,"เป็นมา 15 ปี น่าจะระยะที่ 3 เป็นทั้งครอบครัว
..พ่อ..เป็นแบบหัวอยู่ภายในไม่โผล่ออกมา แต่เจ็บเวลานั่งรถนาน ถ้าอักเฉบจะถ่ายเป็นเลือดซึม นั่งเต็มก้นหรือนอนหงายไม่ได้เลย อาการหนัก เจ็บปวดจนบางครั้งจับไข้  
..แม่+ตัวเราเอง เป็นระยะที่ 3 มีก้อนโผล่ประมาณหัวแม่มือ เวลาถ่ายทุกครั้งจะออกมาตลอด ของแม่เวลาถ่ายจะมีเลือดปนออกมาด้วย แต่เราไม่มี ต้องดันเข้าไปเจ็บมรมาณมาก ถ้าวันไหนไม่ได้ถ่าย...แค่เดินหรือนั่งเฉยๆ หัวก็จะโผล่ออกมาเองตลอด เป็นปัญหาในการใช้ชีวิตประจำจริง
  😁ล่าสุดพ่อเป็นหนักมาก เจ็บจนทนไม่ไหวเตรียมจะไปหาหมอ (ไปแล้วละ แต่ไม่เจอหมอคลินิกปิด) มีคนบอกสูตร ทานน้ำหัวไซเท้า+น้ำผึ้ง ประมาณ 7 วัน หาย ไอ้ที่จริงเราเองก็ไม่ค่อยเชื้อหรอกว่า 7 วันจะหาย จะเห็นผลขนาดไหนเชียว แต่ก็นำมาลอง นำหัวไชเท้ามาตำ คั้นเอาแต่น้ำ +น้ำผึ้ง 1 ช้อน ผสมให้เข้ากันเอาใช่ตู้เย็นเผื่อพ่อจะได้กินง่ายๆ แต่เราปลอกเปือกนะ(เพราะจำไม่ได้ว่าเขาบอกไม่ต้องปอก) ให้พ่อดื่มก่อนนอน
😱คุณพระ.. เช้ามาพ่อบอกว่าถ่ายสะดวกมาก (ปกติต้องกินขนมมะขามเปียกช่วยเรื่องขับถ่าย) และเบาเจ็บ พอผ่านไป 1 วันพ่อบอกว่าตอนนี้ไม่เจ็บแล้ว ไม่ต้องไปหาหมอแล้วน่ะ จะไปทำงานต่อ
..ตัวเราเองก็จะเริ่มลองบ้าง อยากให้หัวมันยุบลง ไม่ต้องโผล่ออกก็ยังดี  ถ้ามีการเปลี่ยนแปลงอย่างไรจะมาบอกต่อน่ะ✋✋✋"
50,"สรุปแล้วต้องใช้หัวไชเท้าต่อครั้งเท่าไหร่ครับ
1-2 หัว หรือ คั้นแล้วได้น้ำ 1-2 ช้อนโต๊ะครับ"
51,"ขอบคุณมากๆค่ะ มายืนยันอีกเสียงว่าสูตรนี้ได้ผล มีคุณน้าเป็นแล้วใช้สูตรนี้รักษาหายได้จริงๆ

ขอบคุณอีกครั้งนะคะ และขออนุญาตเอาไปเผยแพร่ต่อค่ะ"
52,ข้อมูลมีประโยชน์  ช่วยคนได้เยอะเลย
