Frequency (MHz),Time of Day,Occupancy (%),Field Strength (dBuV/m)
768.0,823,0,0
768.0,883,0,0
768.6,643,0,0
768.6,703,0,0
768.6,763,0,0
768.6,823,0,0
768.6,883,0,0
769.2,643,0,0
769.2,703,0,0
769.2,763,0,0
769.2,823,0,0
769.2,883,0,0
769.8,643,0,0
769.8,703,0,0
769.8,763,0,0
769.8,823,0,0
769.8,883,0,0
770.4,643,0,0
770.4,703,0,0
770.4,763,0,0
770.4,823,0,0
770.4,883,0,0
771.0,643,0,0
771.0,703,0,0
771.0,763,0,0
771.0,823,0,0
771.0,883,0,0
771.6,643,0,0
771.6,703,0,0
771.6,763,0,0
771.6,823,0,0
771.6,883,0,0
772.2,643,0,0
772.2,703,0,0
772.2,763,0,0
772.2,823,0,0
772.2,883,0,0
772.8,643,0,0
772.8,703,0,0
772.8,763,0,0
772.8,823,0,0
772.8,883,0,0
773.4,643,0,0
773.4,703,0,0
773.4,763,0,0
773.4,823,0,0
773.4,883,0,0
774.0,643,0,0
774.0,703,0,0
774.0,763,0,0
774.0,823,0,0
774.0,883,0,0
774.6,643,0,0
774.6,703,0,0
774.6,763,0,0
774.6,823,0,0
774.6,883,0,0
775.2,643,0,0
775.2,703,0,0
775.2,763,0,0
775.2,823,0,0
775.2,883,0,0
775.8,643,0,0
775.8,703,0,0
775.8,763,0,0
775.8,823,0,0
775.8,883,0,0
776.4,643,0,0
776.4,703,0,0
776.4,763,0,0
776.4,823,0,0
776.4,883,0,0
777.0,643,0,0
777.0,703,0,0
777.0,763,0,0
777.0,823,0,0
777.0,883,0,0
777.6,643,0,0
777.6,703,0,0
777.6,763,0,0
777.6,823,0,0
777.6,883,0,0
778.2,643,0,0
778.2,703,0,0
778.2,763,0,0
778.2,823,0,0
778.2,883,0,0
778.8,643,0,0
778.8,703,0,0
778.8,763,0,0
778.8,823,0,0
778.8,883,0,0
779.4,643,0,0
779.4,703,0,0
779.4,763,0,0
779.4,823,0,0
779.4,883,0,0
780.0,643,0,0
780.0,703,0,0
780.0,763,0,0
780.0,823,0,0
780.0,883,0,0
780.6,643,0,0
780.6,703,0,0
780.6,763,0,0
780.6,823,0,0
780.6,883,0,0
781.2,643,0,0
781.2,703,0,0
781.2,763,0,0
781.2,823,0,0
781.2,883,0,0
781.8,643,0,0
781.8,703,0,0
781.8,763,0,0
781.8,823,0,0
781.8,883,0,0
782.4,643,0,0
782.4,703,0,0
782.4,763,0,0
782.4,823,0,0
782.4,883,0,0
783.0,643,0,0
783.0,703,0,0
783.0,763,0,0
783.0,823,0,0
783.0,883,0,0
783.6,643,0,0
783.6,703,0,0
783.6,763,0,0
783.6,823,0,0
783.6,883,0,0
784.2,643,0,0
784.2,703,0,0
784.2,763,0,0
784.2,823,0,0
784.2,883,0,0
784.8,643,0,0
784.8,703,0,0
784.8,763,0,0
784.8,823,0,0
784.8,883,0,0
785.4,643,0,0
785.4,703,0,0
785.4,763,0,0
785.4,823,0,0
785.4,883,0,0
786.0,643,0,0
786.0,703,0,0
786.0,763,0,0
786.0,823,0,0
786.0,883,0,0
786.6,643,0,0
786.6,703,0,0
786.6,763,0,0
786.6,823,0,0
786.6,883,0,0
787.2,643,0,0
787.2,703,0,0
787.2,763,0,0
787.2,823,0,0
787.2,883,0,0
787.8,643,0,0
787.8,703,0,0
787.8,763,0,0
787.8,823,0,0
787.8,883,0,0
788.4,643,0,0
788.4,703,0,0
788.4,763,0,0
788.4,823,0,0
788.4,883,0,0
789.0,643,0,0
789.0,703,0,0
789.0,763,0,0
789.0,823,0,0
789.0,883,0,0
789.6,643,0,0
789.6,703,0,0
789.6,763,0,0
789.6,823,0,0
789.6,883,0,0
790.2,643,0,0
790.2,703,0,0
790.2,763,0,0
790.2,823,0,0
790.2,883,0,0
790.8,643,0,0
790.8,703,0,0
790.8,763,0,0
790.8,823,0,0
790.8,883,0,0
791.4,643,0,0
791.4,703,0,0
791.4,763,0,0
791.4,823,0,0
791.4,883,0,0
792.0,643,0,0
792.0,703,0,0
792.0,763,0,0
792.0,823,0,0
792.0,883,0,0
792.6,643,0,0
792.6,703,0,0
792.6,763,0,0
792.6,823,0,0
792.6,883,0,0
793.2,643,0,0
793.2,703,0,0
793.2,763,0,0
793.2,823,0,0
793.2,883,0,0
793.8,643,0,0
793.8,703,0,0
793.8,763,0,0
793.8,823,0,0
793.8,883,0,0
794.4,643,0,0
794.4,703,0,0
794.4,763,0,0
794.4,823,0,0
794.4,883,0,0
795.0,643,0,0
795.0,703,0,0
795.0,763,0,0
795.0,823,0,0
795.0,883,0,0
795.6,643,0,0
795.6,703,0,0
795.6,763,0,0
795.6,823,0,0
795.6,883,0,0
796.2,643,0,0
796.2,703,0,0
796.2,763,0,0
796.2,823,0,0
796.2,883,0,0
796.8,643,0,0
796.8,703,0,0
796.8,763,0,0
796.8,823,0,0
796.8,883,0,0
797.4,643,0,0
797.4,703,0,0
797.4,763,0,0
797.4,823,0,0
797.4,883,0,0
798.0,643,0,0
798.0,703,0,0
798.0,763,0,0
798.0,823,0,0
798.0,883,0,0
798.6,643,0,0
798.6,703,0,0
798.6,763,0,0
798.6,823,0,0
798.6,883,0,0
799.2,643,0,0
799.2,703,0,0
799.2,763,0,0
799.2,823,0,0
799.2,883,0,0
799.8,643,0,0
799.8,703,0,0
799.8,763,0,0
799.8,823,0,0
799.8,883,0,0
800.4,643,0,0
800.4,703,0,0
800.4,763,0,0
800.4,823,0,0
800.4,883,0,0
801.0,643,0,0
801.0,703,0,0
801.0,763,0,0
801.0,823,0,0
801.0,883,0,0
801.6,643,0,0
801.6,703,0,0
801.6,763,0,0
801.6,823,0,0
801.6,883,0,0
802.2,643,0,0
802.2,703,0,0
802.2,763,0,0
802.2,823,0,0
802.2,883,0,0
802.8,643,0,0
802.8,703,0,0
802.8,763,0,0
802.8,823,0,0
802.8,883,0,0
803.4,643,0,0
803.4,703,0,0
803.4,763,0,0
803.4,823,0,0
803.4,883,0,0
804.0,643,0,0
804.0,703,0,0
804.0,763,0,0
804.0,823,0,0
804.0,883,0,0
804.6,643,0,0
804.6,703,0,0
804.6,763,0,0
804.6,823,0,0
804.6,883,0,0
805.2,643,0,0
805.2,703,0,0
805.2,763,0,0
805.2,823,0,0
805.2,883,0,0
805.8,643,0,0
805.8,703,0,0
805.8,763,0,0
805.8,823,0,0
805.8,883,0,0
806.4,643,0,0
806.4,703,0,0
806.4,763,0,0
806.4,823,0,0
806.4,883,0,0
807.0,643,0,0
807.0,703,0,0
807.0,763,0,0
807.0,823,0,0
807.0,883,0,0
807.6,643,0,0
807.6,703,0,0
807.6,763,0,0
807.6,823,0,0
807.6,883,0,0
808.2,643,0,0
808.2,703,0,0
808.2,763,0,0
808.2,823,0,0
808.2,883,0,0
808.8,643,0,0
808.8,703,0,0
808.8,763,0,0
808.8,823,0,0
808.8,883,0,0
809.4,643,0,0
809.4,703,0,0
809.4,763,0,0
809.4,823,0,0
809.4,883,0,0
810.0,643,0,0
810.0,703,0,0
810.0,763,0,0
810.0,823,0,0
810.0,883,0,0
810.6,643,0,0
810.6,703,0,0
810.6,763,0,0
810.6,823,0,0
810.6,883,0,0
811.2,643,0,0
811.2,703,0,0
811.2,763,0,0
811.2,823,0,0
811.2,883,0,0
811.8,643,0,0
811.8,703,0,0
811.8,763,0,0
811.8,823,0,0
811.8,883,0,0
812.4,643,0,0
812.4,703,0,0
812.4,763,0,0
812.4,823,0,0
812.4,883,0,0
813.0,643,0,0
813.0,703,0,0
813.0,763,0,0
813.0,823,0,0
813.0,883,0,0
813.6,643,0,0
813.6,703,0,0
813.6,763,0,0
813.6,823,0,0
813.6,883,0,0
814.2,643,0,0
814.2,703,0,0
814.2,763,0,0
814.2,823,0,0
814.2,883,0,0
814.8,643,0,0
814.8,703,0,0
814.8,763,0,0
814.8,823,0,0
814.8,883,0,0
815.4,643,0,0
815.4,703,0,0
815.4,763,0,0
815.4,823,0,0
815.4,883,0,0
816.0,643,0,0
816.0,703,0,0
816.0,763,0,0
816.0,823,0,0
816.0,883,0,0
816.6,643,0,0
816.6,703,0,0
816.6,763,0,0
816.6,823,0,0
816.6,883,0,0
817.2,643,0,0
817.2,703,0,0
817.2,763,0,0
817.2,823,0,0
817.2,883,0,0
817.8,643,0,0
817.8,703,0,0
817.8,763,0,0
817.8,823,0,0
817.8,883,0,0
818.4,643,0,0
818.4,703,0,0
818.4,763,0,0
818.4,823,0,0
818.4,883,0,0
819.0,643,0,0
819.0,703,0,0
819.0,763,0,0
819.0,823,0,0
819.0,883,0,0
819.6,643,0,0
819.6,703,0,0
819.6,763,0,0
819.6,823,0,0
819.6,883,0,0
820.2,643,0,0
820.2,703,0,0
820.2,763,0,0
820.2,823,0,0
820.2,883,0,0
820.8,643,0,0
820.8,703,0,0
820.8,763,0,0
820.8,823,0,0
820.8,883,0,0
821.4,643,0,0
821.4,703,0,0
821.4,763,0,0
821.4,823,0,0
821.4,883,0,0
822.0,643,0,0
822.0,703,0,0
822.0,763,0,0
822.0,823,0,0
822.0,883,0,0
822.6,643,0,0
822.6,703,0,0
822.6,763,0,0
822.6,823,0,0
822.6,883,0,0
823.2,643,0,0
823.2,703,0,0
823.2,763,0,0
823.2,823,0,0
823.2,883,0,0
823.8,643,0,0
823.8,703,0,0
823.8,763,0,0
823.8,823,0,0
823.8,883,0,0
824.4,643,0,0
824.4,703,0,0
824.4,763,0,0
824.4,823,0,0
824.4,883,0,0
825.0,643,0,0
825.0,703,0,0
825.0,763,0,0
825.0,823,0,0
825.0,883,0,0
825.6,643,0,0
825.6,703,0,0
825.6,763,0,0
825.6,823,0,0
825.6,883,0,0
826.2,643,0,0
826.2,703,0,0
826.2,763,0,0
826.2,823,0,0
826.2,883,0,0
826.8,643,0,0
826.8,703,0,0
826.8,763,0,0
826.8,823,0,0
826.8,883,0,0
827.4,643,0,0
827.4,703,0,0
827.4,763,0,0
827.4,823,0,0
827.4,883,0,0
828.0,643,0,0
828.0,703,0,0
828.0,763,0,0
828.0,823,0,0
828.0,883,0,0
828.6,643,0,0
828.6,703,0,0
828.6,763,0,0
828.6,823,0,0
828.6,883,0,0
829.2,643,0,0
829.2,703,0,0
829.2,763,0,0
829.2,823,0,0
829.2,883,0,0
829.8,643,0,0
829.8,703,0,0
829.8,763,0,0
829.8,823,0,0
829.8,883,0,0
830.4,643,0,0
830.4,703,0,0
830.4,763,0,0
830.4,823,0,0
830.4,883,0,0
831.0,643,0,0
831.0,703,0,0
831.0,763,0,0
831.0,823,0,0
831.0,883,0,0
831.6,643,0,0
831.6,703,0,0
831.6,763,0,0
831.6,823,0,0
831.6,883,0,0
832.2,643,0,0
832.2,703,0,0
832.2,763,0,0
832.2,823,0,0
832.2,883,0,0
832.8,643,0,0
832.8,703,0,0
832.8,763,0,0
832.8,823,0,0
832.8,883,0,0
833.4,643,0,0
833.4,703,0,0
833.4,763,0,0
833.4,823,0,0
833.4,883,0,0
834.0,643,0,0
834.0,703,0,0
834.0,763,0,0
834.0,823,0,0
834.0,883,0,0
834.6,643,0,0
834.6,703,0,0
834.6,763,0,0
834.6,823,0,0
834.6,883,0,0
835.2,643,0,0
835.2,703,0,0
835.2,763,0,0
835.2,823,0,0
835.2,883,0,0
835.8,643,0,0
835.8,703,0,0
835.8,763,0,0
835.8,823,0,0
835.8,883,0,0
836.4,643,0,0
836.4,703,0,0
836.4,763,0,0
836.4,823,0,0
836.4,883,0,0
837.0,643,0,0
837.0,703,0,0
837.0,763,0,0
837.0,823,0,0
837.0,883,0,0
837.6,643,0,0
837.6,703,0,0
837.6,763,0,0
837.6,823,0,0
837.6,883,0,0
838.2,643,0,0
838.2,703,0,0
838.2,763,0,0
838.2,823,0,0
838.2,883,0,0
838.8,643,0,0
838.8,703,0,0
838.8,763,0,0
838.8,823,0,0
838.8,883,0,0
839.4,643,0,0
839.4,703,0,0
839.4,763,0,0
839.4,823,0,0
839.4,883,0,0
840.0,643,0,0
840.0,703,0,0
840.0,763,0,0
840.0,823,0,0
840.0,883,0,0
840.6,643,0,0
840.6,703,0,0
840.6,763,0,0
840.6,823,0,0
840.6,883,0,0
841.2,643,0,0
841.2,703,0,0
841.2,763,0,0
841.2,823,0,0
841.2,883,0,0
841.8,643,0,0
841.8,703,0,0
841.8,763,0,0
841.8,823,0,0
841.8,883,0,0
842.4,643,0,0
842.4,703,0,0
842.4,763,0,0
842.4,823,0,0
842.4,883,0,0
843.0,643,0,0
843.0,703,0,0
843.0,763,0,0
843.0,823,0,0
843.0,883,0,0
843.6,643,0,0
843.6,703,0,0
843.6,763,0,0
843.6,823,0,0
843.6,883,0,0
844.2,643,0,0
844.2,703,0,0
844.2,763,0,0
844.2,823,0,0
844.2,883,0,0
844.8,643,0,0
844.8,703,0,0
844.8,763,0,0
844.8,823,0,0
844.8,883,0,0
845.4,643,0,0
845.4,703,0,0
845.4,763,0,0
845.4,823,0,0
845.4,883,0,0
846.0,643,0,0
846.0,703,0,0
846.0,763,0,0
846.0,823,0,0
846.0,883,0,0
846.6,643,0,0
846.6,703,0,0
846.6,763,0,0
846.6,823,0,0
846.6,883,0,0
847.2,643,0,0
847.2,703,0,0
847.2,763,0,0
847.2,823,0,0
847.2,883,0,0
847.8,643,0,0
847.8,703,0,0
847.8,763,0,0
847.8,823,0,0
847.8,883,0,0
848.4,643,0,0
848.4,703,0,0
848.4,763,0,0
848.4,823,0,0
848.4,883,0,0
849.0,643,0,0
849.0,703,0,0
849.0,763,0,0
849.0,823,0,0
849.0,883,0,0
849.6,643,0,0
849.6,703,0,0
849.6,763,0,0
849.6,823,0,0
849.6,883,0,0
850.2,643,0,0
850.2,703,0,0
850.2,763,0,0
850.2,823,0,0
850.2,883,0,0
850.8,643,0,0
850.8,703,0,0
850.8,763,0,0
850.8,823,0,0
850.8,883,0,0
851.4,643,0,0
851.4,703,0,0
851.4,763,0,0
851.4,823,0,0
851.4,883,0,0
852.0,643,0,0
852.0,703,0,0
852.0,763,0,0
852.0,823,0,0
852.0,883,0,0
852.6,643,0,0
852.6,703,0,0
852.6,763,0,0
852.6,823,0,0
852.6,883,0,0
853.2,643,0,0
853.2,703,0,0
853.2,763,0,0
853.2,823,0,0
853.2,883,0,0
853.8,643,100,81
853.8,703,100,82
853.8,763,100,81
853.8,823,100,81
853.8,883,100,81
854.4,643,100,81
854.4,703,100,81
854.4,763,100,81
854.4,823,100,81
854.4,883,100,81
855.0,643,100,92
855.0,703,100,92
855.0,763,100,92
855.0,823,100,92
855.0,883,100,92
855.6,643,100,93
855.6,703,100,93
855.6,763,100,93
855.6,823,100,93
855.6,883,100,93
856.2,643,0,0
856.2,703,0,0
856.2,763,0,0
856.2,823,0,0
856.2,883,0,0
856.8,643,0,0
856.8,703,0,0
856.8,763,0,0
856.8,823,0,0
856.8,883,0,0
857.4,643,0,0
857.4,703,0,0
857.4,763,0,0
857.4,823,0,0
857.4,883,0,0
858.0,643,0,0
858.0,703,0,0
858.0,763,0,0
858.0,823,0,0
858.0,883,0,0
858.6,643,0,0
858.6,703,0,0
858.6,763,0,0
858.6,823,0,0
858.6,883,0,0
859.2,643,0,0
859.2,703,0,0
859.2,763,0,0
859.2,823,0,0
859.2,883,0,0
859.8,643,0,0
859.8,703,0,0
859.8,763,0,0
859.8,823,0,0
859.8,883,0,0
860.4,643,0,0
860.4,703,0,0
860.4,763,0,0
860.4,823,0,0
860.4,883,0,0
861.0,643,0,0
861.0,703,0,0
861.0,763,0,0
861.0,823,0,0
861.0,883,0,0
861.6,643,0,0
861.6,703,0,0
861.6,763,0,0
861.6,823,0,0
861.6,883,0,0
862.2,643,0,0
862.2,703,0,0
862.2,763,0,0
862.2,823,0,0
862.2,883,0,0
862.8,643,0,0
862.8,703,0,0
862.8,763,0,0
862.8,823,0,0
862.8,883,0,0
863.4,643,0,0
863.4,703,0,0
863.4,763,0,0
863.4,823,0,0
863.4,883,0,0
864.0,643,0,0
864.0,703,0,0
864.0,763,0,0
864.0,823,0,0
864.0,883,0,0
864.6,643,0,0
864.6,703,0,0
864.6,763,0,0
864.6,823,0,0
864.6,883,0,0
865.2,643,0,0
865.2,703,0,0
865.2,763,0,0
865.2,823,0,0
865.2,883,0,0
865.8,643,0,0
865.8,703,0,0
865.8,763,0,0
865.8,823,0,0
865.8,883,0,0
866.4,643,0,0
866.4,703,0,0
866.4,763,0,0
866.4,823,0,0
866.4,883,0,0
867.0,643,0,0
867.0,703,0,0
867.0,763,0,0
867.0,823,0,0
867.0,883,0,0
867.6,643,0,0
867.6,703,0,0
867.6,763,0,0
867.6,823,0,0
867.6,883,0,0
868.2,643,0,0
868.2,703,0,0
868.2,763,0,0
868.2,823,0,0
868.2,883,0,0
868.8,643,0,0
868.8,703,0,0
868.8,763,0,0
868.8,823,0,0
868.8,883,0,0
869.4,643,0,0
869.4,703,0,74
869.4,763,0,0
869.4,823,0,0
869.4,883,0,0
870.0,643,3,82
870.0,703,3,83
870.0,763,1,79
870.0,823,9,82
870.0,883,4,80
870.6,643,3,82
870.6,703,3,83
870.6,763,1,79
870.6,823,8,82
870.6,883,4,80
871.2,643,3,81
871.2,703,3,83
871.2,763,1,79
871.2,823,9,82
871.2,883,4,80
871.8,643,3,81
871.8,703,3,82
871.8,763,1,79
871.8,823,8,82
871.8,883,4,80
872.4,643,3,81
872.4,703,3,82
872.4,763,1,79
872.4,823,8,82
872.4,883,4,80
873.0,643,3,81
873.0,703,3,82
873.0,763,1,79
873.0,823,7,82
873.0,883,3,80
873.6,643,1,77
873.6,703,1,78
873.6,763,0,0
873.6,823,1,77
873.6,883,1,75
874.2,643,0,0
874.2,703,0,0
874.2,763,0,0
874.2,823,0,0
874.2,883,0,0
874.8,643,99,81
874.8,703,93,81
874.8,763,99,78
874.8,823,98,80
874.8,883,97,80
875.4,643,100,82
875.4,703,100,82
875.4,763,100,80
875.4,823,100,81
875.4,883,100,81
876.0,643,100,83
876.0,703,100,82
876.0,763,100,80
876.0,823,100,81
876.0,883,100,81
876.6,643,100,82
876.6,703,100,82
876.6,763,100,79
876.6,823,100,81
876.6,883,100,81
877.2,643,100,83
877.2,703,100,83
877.2,763,100,80
877.2,823,100,81
877.2,883,100,82
877.8,643,100,83
877.8,703,100,83
877.8,763,100,80
877.8,823,100,82
877.8,883,100,82
878.4,643,99,81
878.4,703,94,82
878.4,763,99,78
878.4,823,98,80
878.4,883,98,80
879.0,643,0,0
879.0,703,0,0
879.0,763,0,0
879.0,823,0,0
879.0,883,0,0
879.6,643,100,79
879.6,703,100,79
879.6,763,100,80
879.6,823,100,78
879.6,883,100,79
880.2,643,100,84
880.2,703,100,84
880.2,763,100,85
880.2,823,100,83
880.2,883,100,84
880.8,643,100,84
880.8,703,100,83
880.8,763,100,84
880.8,823,100,83
880.8,883,100,84
881.4,643,100,85
881.4,703,100,84
881.4,763,100,85
881.4,823,100,84
881.4,883,100,85
882.0,643,100,85
882.0,703,100,83
882.0,763,100,85
882.0,823,100,83
882.0,883,100,84
882.6,643,100,84
882.6,703,100,83
882.6,763,100,84
882.6,823,100,83
882.6,883,100,84
883.2,643,100,84
883.2,703,100,83
883.2,763,100,84
883.2,823,100,83
883.2,883,100,84
883.8,643,100,76
883.8,703,98,74
883.8,763,99,75
883.8,823,99,74
883.8,883,100,75
884.4,643,0,0
884.4,703,0,0
884.4,763,0,0
884.4,823,0,0
884.4,883,0,0
885.0,643,0,0
885.0,703,0,0
885.0,763,0,0
885.0,823,0,0
885.0,883,0,0
885.6,643,0,0
885.6,703,0,0
885.6,763,0,0
885.6,823,0,0
885.6,883,0,0
886.2,643,0,0
886.2,703,0,0
886.2,763,0,0
886.2,823,0,0
886.2,883,0,0
886.8,643,0,0
886.8,703,0,0
886.8,763,0,0
886.8,823,0,0
886.8,883,0,0
887.4,643,0,0
887.4,703,0,0
887.4,763,0,0
887.4,823,0,0
887.4,883,0,0
888.0,643,0,0
888.0,703,0,0
888.0,763,0,0
888.0,823,0,0
888.0,883,0,0
888.6,643,0,0
888.6,703,0,0
888.6,763,0,0
888.6,823,0,0
888.6,883,0,0
889.2,643,0,0
889.2,703,0,0
889.2,763,0,0
889.2,823,0,0
889.2,883,0,0
889.8,643,0,0
889.8,703,0,0
889.8,763,0,0
889.8,823,0,0
889.8,883,0,0
890.4,643,0,0
890.4,703,0,0
890.4,763,0,0
890.4,823,0,0
890.4,883,0,0
891.0,643,0,0
891.0,703,0,0
891.0,763,0,0
891.0,823,0,0
891.0,883,0,0
891.6,643,0,0
891.6,703,0,0
891.6,763,0,0
891.6,823,0,0
891.6,883,0,0
892.2,643,0,0
892.2,703,0,0
892.2,763,0,0
892.2,823,0,0
892.2,883,0,0
892.8,643,0,0
892.8,703,0,0
892.8,763,0,0
892.8,823,0,0
892.8,883,0,0
893.4,643,0,0
893.4,703,0,0
893.4,763,0,0
893.4,823,0,0
893.4,883,0,0
894.0,643,0,0
894.0,703,0,0
894.0,763,0,0
894.0,823,0,0
894.0,883,0,0
894.6,643,0,0
894.6,703,0,0
894.6,763,0,0
894.6,823,0,0
894.6,883,0,0
895.2,643,0,0
895.2,703,0,0
895.2,763,0,0
895.2,823,0,0
895.2,883,0,0
895.8,643,0,0
895.8,703,0,0
895.8,763,0,0
895.8,823,0,0
895.8,883,0,0
896.4,643,0,0
896.4,703,0,0
896.4,763,0,0
896.4,823,0,0
896.4,883,0,0
897.0,643,0,0
897.0,703,0,0
897.0,763,0,0
897.0,823,0,0
897.0,883,0,0
897.6,643,0,0
897.6,703,0,0
897.6,763,0,0
897.6,823,0,0
897.6,883,0,0
898.2,643,0,0
898.2,703,0,0
898.2,763,0,0
898.2,823,0,0
898.2,883,0,0
898.8,643,0,0
898.8,703,0,0
898.8,763,0,0
898.8,823,0,0
898.8,883,0,0
899.4,643,0,0
899.4,703,0,0
899.4,763,0,0
899.4,823,0,0
899.4,883,0,0
900.0,643,0,0
900.0,703,0,0
900.0,763,0,0
900.0,823,0,0
900.0,883,0,0
900.6,643,0,0
900.6,703,0,0
900.6,763,0,0
900.6,823,0,0
900.6,883,0,0
901.2,643,0,0
901.2,703,0,0
901.2,763,0,0
901.2,823,0,0
901.2,883,0,0
901.8,643,0,0
901.8,703,0,0
901.8,763,0,0
901.8,823,0,0
901.8,883,0,0
902.4,643,0,0
902.4,703,0,0
902.4,763,0,0
902.4,823,0,0
902.4,883,0,0
903.0,643,0,0
903.0,703,0,0
903.0,763,0,0
903.0,823,0,0
903.0,883,0,0
903.6,643,0,0
903.6,703,0,0
903.6,763,0,0
903.6,823,0,0
903.6,883,0,0
904.2,643,0,0
904.2,703,0,0
904.2,763,0,0
904.2,823,0,0
904.2,883,0,0
904.8,643,0,71
904.8,703,0,0
904.8,763,0,0
904.8,823,0,0
904.8,883,0,0
905.4,643,0,0
905.4,703,0,0
905.4,763,0,0
905.4,823,0,0
905.4,883,0,0
906.0,643,0,0
906.0,703,0,0
906.0,763,0,0
906.0,823,0,0
906.0,883,0,0
906.6,643,0,0
906.6,703,0,0
906.6,763,0,0
906.6,823,0,0
906.6,883,0,0
907.2,643,0,0
907.2,703,0,0
907.2,763,0,0
907.2,823,0,0
907.2,883,0,0
907.8,643,0,0
907.8,703,0,0
907.8,763,0,0
907.8,823,0,0
907.8,883,0,0
908.4,643,0,0
908.4,703,0,0
908.4,763,0,0
908.4,823,0,0
908.4,883,0,0
909.0,643,0,0
909.0,703,0,0
909.0,763,0,0
909.0,823,0,0
909.0,883,0,0
909.6,643,0,0
909.6,703,0,0
909.6,763,0,0
909.6,823,0,0
909.6,883,0,0
910.2,643,0,0
910.2,703,0,0
910.2,763,0,0
910.2,823,0,0
910.2,883,0,0
910.8,643,0,0
910.8,703,0,0
910.8,763,0,0
910.8,823,0,0
910.8,883,0,0
911.4,643,0,0
911.4,703,0,0
911.4,763,0,0
911.4,823,0,0
911.4,883,0,0
912.0,643,0,0
912.0,703,0,0
912.0,763,0,0
912.0,823,0,0
912.0,883,0,0
912.6,643,0,0
912.6,703,0,0
912.6,763,0,0
912.6,823,0,0
912.6,883,0,0
913.2,643,0,0
913.2,703,0,0
913.2,763,0,0
913.2,823,0,0
913.2,883,0,0
913.8,643,0,0
913.8,703,0,0
913.8,763,0,0
913.8,823,0,0
913.8,883,0,0
914.4,643,0,0
914.4,703,0,0
914.4,763,0,0
914.4,823,0,0
914.4,883,0,0
915.0,643,0,0
915.0,703,0,0
915.0,763,0,0
915.0,823,0,0
915.0,883,0,0
915.6,643,0,0
915.6,703,0,0
915.6,763,0,0
915.6,823,0,0
915.6,883,0,0
916.2,643,0,0
916.2,703,0,0
916.2,763,0,0
916.2,823,0,0
916.2,883,0,0
916.8,643,0,0
916.8,703,0,0
916.8,763,0,0
916.8,823,0,0
916.8,883,0,0
917.4,643,0,0
917.4,703,0,0
917.4,763,0,0
917.4,823,0,0
917.4,883,0,0
918.0,643,0,0
918.0,703,0,0
918.0,763,0,0
918.0,823,0,0
918.0,883,0,0
918.6,643,0,0
918.6,703,0,0
918.6,763,0,0
918.6,823,0,0
918.6,883,0,0
919.2,643,0,0
919.2,703,0,0
919.2,763,0,0
919.2,823,0,0
919.2,883,0,0
919.8,643,0,0
919.8,703,0,0
919.8,763,0,0
919.8,823,0,0
919.8,883,0,0
920.4,643,0,0
920.4,703,0,0
920.4,763,0,0
920.4,823,0,0
920.4,883,0,0
921.0,643,0,0
921.0,703,0,0
921.0,763,0,0
921.0,823,0,0
921.0,883,0,0
921.6,643,0,0
921.6,703,0,0
921.6,763,0,0
921.6,823,0,0
921.6,883,0,0
922.2,643,0,0
922.2,703,0,0
922.2,763,0,0
922.2,823,0,0
922.2,883,0,0
922.8,643,0,0
922.8,703,0,0
